product_id,channel_id,season,size,units,stock_units,name,category,price,cost,sku,leftover,capital_cost,sell_through,stockout
FBE5E6Q4S6,Stockholm,2018,XS,6,6,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XS,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2018,S,41,48,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_S,7,79.947,0.8541666666666666,False
FBE5E6Q4S6,Stockholm,2018,M,43,43,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_M,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2018,L,32,32,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_L,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2018,XL,15,15,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XL,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2018,XXL,13,29,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XXL,16,182.736,0.4482758620689655,False
FBE5E6Q4S6,Stockholm,2019,XS,4,4,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XS,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2019,S,32,43,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_S,11,125.631,0.7441860465116279,False
FBE5E6Q4S6,Stockholm,2019,M,36,36,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_M,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2019,L,37,37,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_L,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2019,XL,21,22,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XL,1,11.421,0.9545454545454546,False
FBE5E6Q4S6,Stockholm,2019,XXL,9,9,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XXL,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2020,XS,9,9,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XS,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2020,S,25,25,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_S,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2020,M,34,34,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_M,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2020,L,41,41,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_L,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2020,XL,13,13,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XL,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2020,XXL,6,6,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XXL,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2021,XS,9,9,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XS,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2021,S,55,55,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_S,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2021,M,117,200,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_M,83,947.943,0.585,False
FBE5E6Q4S6,Stockholm,2021,L,94,120,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_L,26,296.94599999999997,0.7833333333333333,False
FBE5E6Q4S6,Stockholm,2021,XL,35,40,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XL,5,57.105,0.875,False
FBE5E6Q4S6,Stockholm,2021,XXL,25,56,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XXL,31,354.051,0.44642857142857145,False
FBE5E6Q4S6,Stockholm,2022,XS,1,1,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XS,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2022,S,22,22,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_S,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2022,M,62,62,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_M,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2022,L,60,78,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_L,18,205.578,0.7692307692307693,False
FBE5E6Q4S6,Stockholm,2022,XL,15,15,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XL,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2022,XXL,21,29,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XXL,8,91.368,0.7241379310344828,False
FBE5E6Q4S6,Stockholm,2023,XS,7,7,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XS,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2023,S,34,34,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_S,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2023,M,95,95,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_M,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2023,L,47,47,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_L,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2023,XL,31,53,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XL,22,251.262,0.5849056603773585,False
FBE5E6Q4S6,Stockholm,2023,XXL,10,10,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XXL,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2024,XS,12,12,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XS,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2024,S,60,60,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_S,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2024,M,105,105,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_M,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2024,L,82,90,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_L,8,91.368,0.9111111111111111,False
FBE5E6Q4S6,Stockholm,2024,XL,43,45,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XL,2,22.842,0.9555555555555556,False
FBE5E6Q4S6,Stockholm,2024,XXL,22,26,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XXL,4,45.684,0.8461538461538461,False
FBE5E6Q4S6,Stockholm,2025,XS,15,15,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XS,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2025,S,34,34,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_S,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2025,M,100,100,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_M,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2025,L,79,117,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_L,38,433.998,0.6752136752136753,False
FBE5E6Q4S6,Stockholm,2025,XL,14,14,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XL,0,0.0,1.0,True
FBE5E6Q4S6,Stockholm,2025,XXL,19,19,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XXL,0,0.0,1.0,True
FBE5E6Q4S6,Copenhagen,2018,XS,9,9,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XS,0,0.0,1.0,True
FBE5E6Q4S6,Copenhagen,2018,S,19,19,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_S,0,0.0,1.0,True
FBE5E6Q4S6,Copenhagen,2018,M,65,65,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_M,0,0.0,1.0,True
FBE5E6Q4S6,Copenhagen,2018,L,21,21,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_L,0,0.0,1.0,True
FBE5E6Q4S6,Copenhagen,2018,XL,30,60,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XL,30,342.63,0.5,False
FBE5E6Q4S6,Copenhagen,2018,XXL,9,16,Black sweatshirt,Menswear,120.0,47.0,FBE5E6Q4S6_XXL,7,79.947,0.5625,False
